id;article;name;abbreviated name;manufacturer;tip;Equipment manufacturer
;11096;BF7639;BF7639;BALDWIN FILTERS;Не определено;Нет
;11096;95685;95685;BIGA;Не определено;Нет
;11096;86685;86685;CARQ;Не определено;Нет
;11096;1R0755;1R0755;CATERPILLAR;Не определено;Да
;11096;1623156;1623156;CHAMP;Не определено;Нет
;11096;LFF4102;LFF4102;CHAMP;Не определено;Нет
;11096;4068246;4068246;CUMMINS;Не определено;Нет
;11096;P551316;P551316;DONALDSON;Не определено;Нет
;11096;DF5317;DF5317;DONGGUAN;Не определено;Нет
;11096;FCX457;FCX457;FENGYE;Не определено;Нет
;11096;P8430;P8430;FRAM;Не определено;Нет
;11096;FF1090;FF1090;HASTINGS;Не определено;Нет
;11096;SN55424;SN55424;HIFI FILTER;Не определено;Нет
;11096;F498;F498;KRALINAT;Не определено;Нет
;11096;1623156;1623156;LUBERFINER;Не определено;Нет
;11096;LFF4102;LFF4102;LUBERFINER;Не определено;Нет
;11096;3685;3685;NAPA;Не определено;Нет
;11096;RC534X;RC534X;RONGSUN;Не определено;Нет
;11096;33685;33685;WIX FILTERS;Не определено;Нет
;11096;533685;533685;WIX FILTERS;Не определено;Нет
